Year,Month,Assault,Auto_Theft,Break_and_Enter,Robbery,Theft_Over,Id
2016,1,1543,271,546,270,63,0
2016,2,1384,222,525,304,85,1
2016,3,1556,281,504,274,82,2
2016,4,1574,230,539,323,82,3
2016,5,1696,254,501,318,100,4
2016,6,1669,306,556,341,102,5
2016,7,1694,326,523,378,83,6
2016,8,1580,272,516,330,77,7
2016,9,1662,311,500,285,83,8
2016,10,1668,326,542,330,95,9
2016,11,1515,280,601,344,107,10
2016,12,1498,260,571,280,85,11
2017,1,1528,253,572,351,99,12
2017,2,1414,233,495,287,64,13
2017,3,1490,293,564,283,80,14
2017,4,1722,277,528,345,88,15
2017,5,1677,286,505,347,110,16
2017,6,1629,326,526,375,99,17
2017,7,1886,322,596,379,103,18
2017,8,1672,350,624,329,115,19
2017,9,1664,330,579,336,126,20
2017,10,1651,325,659,393,114,21
2017,11,1720,334,686,376,94,22
2017,12,1591,322,597,295,94,23
2018,1,1700,333,669,345,100,24
2018,2,1390,327,586,306,97,25
2018,3,1623,351,622,390,93,26
2018,4,1600,356,512,243,110,27
2018,5,1856,424,633,282,96,28
2018,6,1774,405,647,281,99,29
2018,7,1695,410,564,307,117,30
2018,8,1718,426,654,330,108,31
2018,9,1632,379,638,314,101,32
2018,10,1728,444,734,315,113,33
2018,11,1662,520,640,345,122,34
2018,12,1587,452,753,301,131,35
2019,1,1538,450,720,328,105,36
2019,2,1450,377,570,315,72,37
2019,3,1672,416,610,249,104,38
2019,4,1660,401,751,220,112,39
2019,5,1832,432,740,333,119,40
2019,6,2020,464,687,298,127,41
2019,7,2014,474,811,322,138,42
2019,8,1831,424,765,339,117,43
2019,9,1827,449,698,276,124,44
2019,10,1811,537,787,412,131,45
2019,11,1687,499,759,343,107,46
2019,12,1643,450,675,288,116,47
2020,1,1645,440,706,372,119,48
2020,2,1548,414,625,352,115,49
2020,3,1496,468,736,364,88,50
2020,4,1102,462,616,203,79,51
2020,5,1343,467,468,165,77,52
2020,6,1565,498,492,158,95,53
2020,7,1952,499,567,178,110,54
2020,8,1793,461,613,233,123,55
2020,9,1621,582,515,254,110,56
2020,10,1464,571,537,217,106,57
2020,11,1335,510,508,175,109,58
2020,12,1387,405,581,192,79,59
2021,1,1371,433,532,187,72,60
2021,2,1247,381,420,118,69,61
2021,3,1419,459,428,155,95,62
2021,4,1307,450,427,136,69,63
2021,5,1708,499,508,178,99,64
2021,6,1734,497,456,176,86,65
2021,7,1682,569,509,184,88,66
2021,8,1839,623,498,214,94,67
2021,9,1675,679,481,239,93,68
2021,10,1808,714,477,229,99,69
2021,11,1566,661,472,252,106,70
2021,12,1514,610,510,215,113,71
2022,1,1277,676,452,189,78,72
2022,2,1377,643,425,179,97,73
2022,3,1662,808,532,239,100,74
2022,4,1678,757,512,304,112,75
2022,5,1952,758,566,255,126,76
2022,6,1859,784,475,237,128,77
2022,7,1853,700,500,245,140,78
2022,8,1849,755,500,258,125,79
2022,9,1798,852,514,265,116,80
2022,10,1804,955,502,251,120,81
2022,11,1662,945,523,276,132,82
2022,12,1620,905,517,205,102,83
